Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Ukranian-Paite,0.1769,0.0021,0.6994,0.5749,849.9746,58.7023,36.5226,29.8294,0.6682,0.6752
Ukranian-Hindi,0.9576,0.2808,0.3639,0.5381,24.6342,461.9624,30.7909,31.3400,1.2380,0.6744
Ukranian-Cherokee,0.0011,0.00095,2.1638,1.5466,12360.7906,34976.5243,41.2902,36.3500,0.2313,0.6672
Ukranian-K'iche'-SIL,0.2124,0.00115,0.7827,0.46435,835.69875,160.3942,37.2575,30.93615,0.7111,0.6713
Ukranian-Uma,0.2533,0.00095,2.5784,2.2421,744.9729,5665.1796,40.8316,28.1160,0.74375,0.6924
Ukranian-Russian,0.9962,0.6238,0.3336,0.4773,4.9610,24.0906,31.5462,29.6230,1.3232,0.8169
Ukranian-Syriac,0,0,5.8670,8.5116,1487436.5154,1183457.2936,31.6617,22.4991,0.0696,0.6203
Ukranian-Xhosa,0.9824,0,0.5185,0.8872,56.7982,129.0892,35.8247,31.9328,1.2471,0.5827
Ukranian-English-WEB,0.99555,0.4530,0.2153,0.4396,31.4790,107.0160,35.1676,31.2841,1.3662,0.7111
Ukranian-K'iche',0,0,1.5128,1.3289,793134.9070,887440.2105,1.93985,1.9174,0.7917,-0.2381
Ukranian-Thai,0.9693,0.3901,0.37085,0.4477,2.0192,3.7803,31.49075,26.8311,1.2170,0.8528
Ukranian-Campa,0.07125,0,2.5432,2.3037,904.4112,6892.4623,36.2343,29.4916,0.5588,0.6678
Ukranian-Q'eqchi',0.1882,0,0.6089,0.4944,842.09525,165.0979,38.4295,29.3464,0.66825,0.6983
Ukranian-Tagalog,0.9940,0.0964,0.2834,0.2863,2.0356,34.4315,32.9717,25.7731,1.2874,0.8413
Ukranian-Barasana,0.1214,0,3.7268,3.8477,990.8863,13490.4331,36.2272,36.82525,0.6383,0.3922
Ukranian-Nahuatl,0.2493,0.0041,1.3482,1.5155,630.8244,4160.0417,41.2794,30.7352,0.7324,0.6982
Ukranian-Portuguese,0.9933,0.5662,0.2965,0.4340,2.2682,7.5506,32.156,28.8894,1.3009,0.8401
Ukranian-Zarma,0.26865,0.00115,0.7109,0.6839,648.9948,98.5837,41.3884,30.3969,0.7738,0.6029
Ukranian-Korean,0.9709,0.2242,0.3831,0.5663,60.5751,175.7637,36.0317,31.3365,1.2394,0.6513
Ukranian-Coptic,0,0,5.3114,4.96825,340161.7612,1427917.2149,40.1599,24.6220,-0.3624,0.70985
Ukranian-Hungarian,0.98745,0.62355,0.2111,0.2190,35.5705,0.6595,34.4133,23.0647,1.3090,0.9705
Ukranian-Shona,0.9733,0.00115,0.3673,0.6976,35.3310,39.8235,35.5220,28.8309,1.2335,0.66335
Ukranian-Cebuano,0.9893,0.0062,0.2539,0.3967,1.0198,58.2018,32.6214,27.5121,1.2603,0.7628
Ukranian-Ewe,0.2352,0.00115,1.0343,0.4977,740.6638,53.4159,38.3854,30.2921,0.7472,0.7032
Ukranian-Norwegian,0.9859,0.5447,0.3166,0.4717,8.8229,12.30515,31.5486,28.5011,1.2871,0.8387
Ukranian-Vietnamese-tok,0.9847,0.4216,0.4013,0.2172,0.3306,1.4178,31.9954,23.7367,1.2373,0.9404
Ukranian-Wolaytta,0.1189,0.00095,2.1092,2.4970,907.40815,4872.5563,35.2789,32.4839,0.6863,0.5654
Ukranian-Kannada,0.9906,0,0.3262,2.2936,1.1248,184166.3260,33.2774,33.6259,1.2773,0.7034
Ukranian-Dinka,0.1837,0,0.8098,0.5289,946.2141,382.7309,34.5496,30.8332,0.7069,0.65085
Ukranian-Indonesian,0.9679,0.3445,1.4112,1.5329,8.8708,1369.7864,32.3983,29.1685,1.2141,0.7840
Ukranian-English,0.9965,0.2544,0.4329,0.4936,68.9298,493.0575,36.4092,31.0295,1.3597,0.54285
Ukranian-Myanmar,0.95915,0,0.3736,0.7886,91.3524,550.3012,35.1565,31.5157,1.2317,0.7515
Ukranian-Jakalteko,0.1675,0.00115,1.6855,1.1951,994.0964,5995.7902,36.6259,31.7624,0.6462,0.6687
Ukranian-Slovene,0.9939,0.7198,0.3671,0.3115,4.0017,1.5435,33.0655,22.6075,1.3239,0.9908
Ukranian-Greek,0.9826,0.4422,0.2762,0.2417,85.3985,2.1672,36.2992,22.5154,1.2563,0.9361
Ukranian-Chinantec,0.1129,0,1.1560,1.17975,1304.9775,2832.8917,39.0283,32.78755,0.6527,0.6648
Ukranian-Icelandic,0.9922,0.6030,0.3426,0.2306,35.2724,0.6151,30.4016,23.4374,1.2688,0.9729
Ukranian-Polish,0.9964,0.5425,0.2928,0.44775,2.1629,11.5507,32.0693,29.0660,1.3059,0.8346
Ukranian-Romani,0.3520,0.00545,1.03005,1.0525,586.9026,358.8071,41.6391,26.6420,0.8145,0.7330
Ukranian-Maori,0.9900,0,0.3207,0.5803,22.6714,58.9086,34.5664,28.3451,1.2599,0.6902
Ukranian-Cabecar,0.3292,0.0073,1.1135,0.5147,871.8981,86.3002,40.0551,27.86305,0.7771,0.7262
Ukranian-Mam,0.1569,0,0.8674,0.6022,961.0037,979.4817,37.0867,29.0438,0.65645,0.6914
Ukranian-Latvian,0.9759,0.7073,0.3617,0.3612,25.6494,0.8773,30.9346,22.8719,1.2716,0.99265
Ukranian-Chinese,0.9750,0.3497,0.3880,0.3620,334.0925,2.4767,40.2757,23.8186,1.2596,0.9096
Ukranian-Japanese-tok,0.9832,0.2732,0.2216,0.5020,50.8888,12.2686,36.0880,26.2250,1.2529,0.8494
Ukranian-Albanian,0.9939,0.4752,0.3462,0.4261,0.9010,68.8672,32.476,31.0676,1.2961,0.7451
Ukranian-Basque,0.9322,0.0731,0.3682,0.3932,139.8068,1.3883,36.4722,24.3909,1.17515,0.8288
Ukranian-Esperanto,0.9946,0.6526,0.3899,0.2938,1.5524,1.3891,32.2762,22.81985,1.3106,0.9857
Ukranian-Gujarati,0.9612,0,0.8663,1.5161,22.5278,37566.11095,32.41625,35.1385,1.1909,0.67435
Ukranian-Serbian,0.9943,0.6830,0.4341,0.4038,1.8774,0.369,33.1864,24.9773,1.3227,0.9312
Ukranian-Vietnamese,0.9862,0.4636,0.3805,0.190,2.9031,0.5896,31.6602,23.6355,1.2454,0.9463
Ukranian-German,0.9956,0.4706,0.3234,0.4397,0.5371,35.3048,32.7677,30.2770,1.2960,0.7744
Ukranian-Telugu,0.9384,0.0650,0.4019,0.4681,19.2591,13.4789,33.9497,24.8346,1.21605,0.8282
Ukranian-Creole,0.9779,0,0.2604,0.3682,17.653,49.6389,35.16015,28.1820,1.2238,0.6820
Ukranian-Quichua,0.2328,0.0075,1.3090,1.1545,655.8109,2536.5909,39.8199,29.6415,0.68675,0.7093
Ukranian-Achuar,0.1588,0.00115,2.7689,2.7337,862.8901,7464.5123,37.5880,29.6635,0.6460,0.6711
Ukranian-Malagasy,0.9869,0.4364,0.33645,0.2413,18.8472,1.52375,35.3315,24.0466,1.2646,0.9412
Ukranian-Camsa,0.1940,0.00225,9.3702,9.76765,66724.2904,182997.8495,40.2761,34.6613,0.7187,0.5183
Ukranian-Swedish,0.9902,0.4640,0.4026,0.5942,10.7307,12.9599,31.4967,29.2667,1.2694,0.8088
Ukranian-Aukan,0.1676,0.00115,1.3222,1.2212,810.6205,1976.6248,38.40855,28.0507,0.7151,0.6694
Ukranian-Japanese,0.9873,0.4265,0.1811,0.4981,14.6275,3.2879,34.74205,24.6114,1.2598,0.8996
Ukranian-Spanish,0.9943,0.6376,0.3985,0.51095,2.0325,0.8727,33.77215,26.1712,1.31125,0.9090
Ukranian-Shuar,0.0508,0,1.77865,1.7444,802.498,943.6584,35.3148,29.6141,0.5418,0.6807
Ukranian-Dutch,0.8986,0.2880,3.3491,3.0351,19.34665,7231.5432,30.8508,24.42435,1.1459,0.83515
Ukranian-Slovak,0.9875,0.7557,0.2868,0.2865,8.5096,0.5715,31.62805,22.7278,1.3049,1.0030
Ukranian-Amuzgo,0.2214,0,0.8790,0.85645,1154.4529,262.4634,38.5444,33.9509,0.6674,0.6306
Ukranian-Swahili,0.98845,0.1877,0.2243,0.5576,11.7973,311.5560,31.5371,31.7191,1.2511,0.5624
Ukranian-Chinese-tok,0.9750,0.3497,0.3879,0.3620,334.0925,2.4792,40.2757,23.8186,1.2596,0.9096
Ukranian-Danish,0.9944,0.6354,0.2980,0.4193,0.8085,0.5952,32.7392,23.2362,1.2920,0.9336
Ukranian-Amharic,0.9589,0.0343,2.8942,3.0547,24.4819,8614.3885,33.9505,32.0475,1.2612,0.5286
Ukranian-Somali,0.9836,0,0.3560,1.0037,16.8452,4231.1036,34.2473,28.3596,1.2647,0.2767
Ukranian-Croatian,0.9920,0.64545,0.4068,0.4620,6.8662,0.6837,31.1168,25.0335,1.2993,0.9155
Ukranian-Italian,0.9908,0.6545,0.3068,0.3994,1.9629,1.6359,33.1384,22.92765,1.2990,0.9488
Ukranian-Akawaio,0.0903,0.0030,0.9024,0.5531,1165.4899,115.6439,36.6111,28.2998,0.6543,0.6873
Ukranian-Czech,0.98825,0.5412,0.4187,0.4574,14.3056,14.0190,34.1684,29.0652,1.3139,0.82355
Ukranian-Tachelhit,0.0413,0,0.5912,0.4253,758.4905,117.5319,40.8891,28.9262,0.6067,0.6949
Ukranian-Romanian,0.9930,0.6009,0.2319,0.3706,37.2547,0.3058,30.4722,23.6129,1.2736,0.9286
Ukranian-Lithuanian,0.9947,0.7112,0.27725,0.3766,22.5335,1.1913,30.8893,23.63325,1.2939,0.9967
Ukranian-Wolof,0.3632,0.00095,0.6244,0.7264,530.5175,419.7537,41.0665,29.4090,0.8768,0.6186
Ukranian-Zulu,0.98265,0,0.4521,0.8258,4.7017,126.4511,34.0076,31.1839,1.2480,0.6027
Ukranian-Thai-tok,0.9576,0.2966,0.3637,0.1465,8.9450,1.79205,33.3288,24.0982,1.2015,0.9160
Ukranian-Malayalam,0.8321,0.1448,1.3920,1.6764,10.27535,6479.2720,33.5907,31.45035,1.1506,0.6715
Ukranian-Hebrew,0.9874,0.4573,0.4464,0.1654,79.3394,0.5331,35.42025,22.8377,1.2480,0.9364
Ukranian-Kabyle,0.1336,0.0548,0.6623,0.3765,849.1024,23.3073,35.2722,25.6409,0.6911,0.8169
Ukranian-French,0.9932,0.59755,0.3840,0.4505,0.6116,0.7976,32.7832,26.3320,1.3080,0.8942
Ukranian-Afrikaans,0.9945,0.5534,0.2330,0.3368,2.7701,0.5607,32.1389,23.17825,1.3099,0.9474
Uspanteco-Ojibwa,0.0158,0,1.5371,1.3480,9511.910,56664.5711,48.41685,57.86315,0.6136,0.6253
Uspanteco-Aguaruna,0.1867,0,0.3538,0.5970,1.1710,27.4594,43.9289,49.5463,0.76545,0.5845
Uspanteco-Nepali,0.1860,0,0.8200,1.1503,899.9430,3425.1369,37.3388,52.6154,0.7009,0.582
Uspanteco-Marathi,0.1855,0,0.8402,0.9757,971.6484,1963.8981,36.5481,34.1911,0.6773,0.6591
Uspanteco-Lukpa,0.1349,0,0.5472,0.7080,72.5046,86.8680,45.4658,62.5259,0.7567,0.4311
Uspanteco-Turkish,0.1989,0,4.10845,3.8879,934.8378,17247.0618,36.6981,47.5862,0.6538,0.4888
Uspanteco-Farsi,0.1583,0,0.7119,0.5811,940.9207,912.1651,35.1824,52.3356,0.6322,0.4044
Uspanteco-Paite,0.1173,0,0.4344,0.4584,4.4438,31.0339,41.6503,48.1461,0.6571,0.6022
Uspanteco-Hindi,0.1598,0,0.7941,0.5465,1079.3607,339.5692,34.2318,52.2947,0.6314,0.4849
Uspanteco-Cherokee,0.0011,0,1.42915,1.2869,7150.8703,32217.7543,47.9598,67.86185,0.5865,0.5976
Uspanteco-K'iche'-SIL,0.3545,0,0.4225,0.4357,1.1314,1.0800,42.6187,51.1713,0.9037,0.6240
Uspanteco-Uma,0.2207,0,1.77165,1.8494,3.3973,5452.9833,47.3068,43.90915,0.76445,0.6170
Uspanteco-Russian,0.2195,0.00095,0.8362,0.3747,912.5944,76.8927,35.2017,47.7262,0.6613,0.52215
Uspanteco-Syriac,0,0,5.8670,8.5116,1427131.9503,1161705.2342,35.2534,31.5118,0.5419,0.55715
Uspanteco-Xhosa,0.1927,0,0.7128,0.70335,431.9925,11.0628,40.6208,53.7881,0.6783,0.4992
Uspanteco-English-WEB,0.2548,0,0.7618,0.3965,515.1206,30.0118,39.7628,52.1292,0.7445,0.4631
Uspanteco-K'iche',0,0,1.9169,1.5253,759134.2001,869622.6305,1.9523,1.9653,0.4891,-0.1202
Uspanteco-Thai,0.1624,0,0.8047,0.3910,857.0125,131.0377,35.1064,40.7991,0.6426,0.6056
Uspanteco-Campa,0.0690,0,1.73635,1.91105,5.3547,6572.6731,41.1817,47.4197,0.6589,0.5941
Uspanteco-Q'eqchi',0.2640,0,0.4358,0.4924,3.4462,1.3110,44.3319,46.9593,0.8628,0.6427
Uspanteco-Tagalog,0.2122,0.00115,0.7643,0.4186,714.4630,56.3592,36.9733,38.3574,0.6832,0.6843
Uspanteco-Barasana,0.1870,0,3.4331,3.8477,12.4090,12221.6130,41.2409,69.4788,0.7761,0.3794
Uspanteco-Nahuatl,0.2832,0,0.6337,1.1229,10.4307,3963.21515,48.1024,50.5442,0.8504,0.6340
Uspanteco-Portuguese,0.2260,0.00095,0.78855,0.3873,866.4547,120.7851,35.9639,45.8115,0.6691,0.5489
Uspanteco-Zarma,0.1495,0,0.357,0.5009,7.2830,14.0706,48.1163,49.8099,0.7138,0.5216
Uspanteco-Korean,0.1253,0.00095,0.7371,0.4884,427.49045,19.8193,40.9349,52.2268,0.6304,0.4611
Uspanteco-Coptic,0,0,5.3114,4.96825,313552.6519,1402778.3844,46.4130,35.8663,0.5216,0.6475
Uspanteco-Hungarian,0.2115,0,0.7300,0.4435,501.7533,186.2734,38.7905,32.6617,0.68355,0.6611
Uspanteco-Shona,0.1780,0,0.6918,0.56345,494.1031,50.6190,40.1958,45.64975,0.6802,0.5696
Uspanteco-Cebuano,0.2365,0,0.7463,0.4699,807.3700,31.8923,36.5450,42.4065,0.7101,0.6515
Uspanteco-Ewe,0.1908,0,0.4925,0.5578,1.8872,36.2236,44.05165,49.4521,0.73805,0.6223
Uspanteco-Norwegian,0.2032,0.00095,0.8228,0.4350,956.4029,102.7747,35.1893,44.9686,0.6642,0.5607
Uspanteco-Vietnamese-tok,0.1784,0,0.7558,0.4247,805.6014,147.3081,35.7597,34.0296,0.6933,0.6628
Uspanteco-Wolaytta,0.1052,0,1.3024,2.2247,5.2275,4519.2703,39.9562,55.6056,0.71795,0.4989
Uspanteco-Kannada,0.1734,0,0.7775,1.9699,733.5273,176892.1412,37.33415,58.8400,0.6490,0.6475
Uspanteco-Dinka,0.1085,0,0.4713,0.5214,7.8292,350.9667,39.0691,50.8494,0.68575,0.57865
Uspanteco-Indonesian,0.2323,0.00115,0.9754,1.3488,958.6999,1426.1408,36.2690,46.7476,0.7007,0.5435
Uspanteco-English,0.2462,0,0.6980,0.3886,402.8305,125.3920,41.3921,51.3096,0.7404,0.3556
Uspanteco-Myanmar,0.1327,0,0.7051,0.4908,361.4330,109.3729,39.6912,52.6956,0.6320,0.7262
Uspanteco-Jakalteko,0.22455,0,0.9988,0.8665,12.4160,5677.1185,41.7252,53.4930,0.8170,0.6144
Uspanteco-Slovene,0.2211,0,0.7795,0.4406,688.3470,197.0384,37.0741,31.7365,0.6750,0.6496
Uspanteco-Greek,0.1677,0,0.66425,0.4197,368.4261,184.1507,41.23905,31.5837,0.6648,0.67385
Uspanteco-Chinantec,0.1687,0,0.6542,0.9173,67.4353,2444.8566,44.8381,56.4040,0.8252,0.6001
Uspanteco-Icelandic,0.2072,0,0.8383,0.3897,1145.83755,170.6536,33.7730,33.41235,0.6496,0.6646
Uspanteco-Polish,0.2077,0.00095,0.8091,0.3925,863.7884,101.3659,35.8626,46.2824,0.6789,0.5490
Uspanteco-Romani,0.1998,0,0.6202,0.8558,24.59035,421.61405,48.3950,40.35315,0.7413,0.6452
Uspanteco-Maori,0.1561,0,0.7279,0.56895,549.5451,31.6662,38.9911,44.4254,0.6351,0.6267
Uspanteco-Cabecar,0.2326,0,0.5319,0.5279,4.9061,16.8545,46.1813,43.2008,0.7925,0.65295
Uspanteco-Mam,0.2230,0.00115,0.5542,0.6377,9.1614,833.0299,42.3206,46.1942,0.8360,0.62625
Uspanteco-Latvian,0.1842,0,0.8247,0.4135,1085.6000,178.6550,34.3986,32.2524,0.6344,0.6624
Uspanteco-Chinese,0.1515,0.00095,0.7015,0.4135,129.4659,145.5378,46.5122,34.1700,0.6079,0.6639
Uspanteco-Japanese-tok,0.2130,0,0.7634,0.4874,451.7081,101.6185,40.9569,39.3271,0.7197,0.6312
Uspanteco-Albanian,0.22355,0,0.7880,0.4064,834.6914,42.0961,36.3639,51.564,0.6736,0.4959
Uspanteco-Basque,0.1948,0,0.6643,0.4342,280.0023,154.5158,41.4870,35.3981,0.7266,0.6610
Uspanteco-Esperanto,0.2130,0,0.7802,0.4160,839.0811,187.3060,36.1261,32.1480,0.6818,0.6585
Uspanteco-Gujarati,0.1947,0,0.7453,1.1624,1063.69735,34580.0560,36.2277,64.2348,0.68635,0.6164
Uspanteco-Serbian,0.2175,0,0.7636,0.3504,718.4540,165.6216,37.2419,36.7345,0.6759,0.6063
Uspanteco-Vietnamese,0.1868,0,0.7850,0.4111,876.8236,157.8008,35.3326,33.8090,0.68715,0.6605
Uspanteco-German,0.2106,0,0.7987,0.3632,780.1116,64.1019,36.7050,49.4180,0.6607,0.51025
Uspanteco-Telugu,0.1122,0,0.7557,0.5710,571.1212,95.0808,38.19355,36.3381,0.5977,0.6862
Uspanteco-Creole,0.2286,0,0.8058,0.50735,579.0498,38.67345,39.7688,44.0304,0.6794,0.5836
Uspanteco-Quichua,0.1795,0,0.5611,0.8080,7.1818,2441.8981,46.1203,47.6986,0.7492,0.6321
Uspanteco-Achuar,0.20265,0,2.0193,2.4842,2.12455,7142.46435,43.0314,47.7885,0.7709,0.6000
Uspanteco-Malagasy,0.2189,0,0.7522,0.4425,570.3213,158.3812,40.0242,34.6549,0.7127,0.6591
Uspanteco-Camsa,0.22975,0,9.3702,9.76765,60974.7478,177074.7495,46.3602,61.94175,0.7131,0.4864
Uspanteco-Swedish,0.2048,0.00095,0.8555,0.4941,974.61655,103.3074,35.1170,46.7450,0.6756,0.5556
Uspanteco-Aukan,0.1405,0,0.7560,0.9123,1.6655,1866.6741,44.0968,43.9735,0.7483,0.5986
Uspanteco-Japanese,0.1973,0,0.7883,0.38405,599.9594,140.2732,39.2456,35.8057,0.6973,0.6401
Uspanteco-Spanish,0.2566,0.00185,0.7865,0.4452,719.6240,163.5776,37.9974,39.3321,0.6762,0.6021
Uspanteco-Shuar,0.0822,0,1.3157,1.5940,1.02475,870.8581,40.0897,47.6682,0.66085,0.6002
Uspanteco-Dutch,0.1720,0,2.9544,2.8123,1046.2427,7172.8398,34.2982,35.5056,0.6404,0.5974
Uspanteco-Slovak,0.2002,0,0.7479,0.43835,953.23005,187.6732,35.3035,31.9624,0.6605,0.6551
Uspanteco-Amuzgo,0.2256,0,0.41585,0.7752,36.3407,11.1145,44.15255,60.0044,0.8025,0.5626
Uspanteco-Swahili,0.2497,0,0.83065,0.4008,985.3083,48.6328,35.2063,53.3004,0.7045,0.3982
Uspanteco-Chinese-tok,0.1515,0.00095,0.7015,0.4135,129.4659,145.5354,46.5122,34.1700,0.6079,0.6639
Uspanteco-Danish,0.2153,0.00095,0.8187,0.4236,778.7098,172.6884,36.7053,32.9923,0.6588,0.6242
Uspanteco-Amharic,0.1691,0,2.0874,2.9740,543.9423,7983.4415,38.2012,54.2700,0.6434,0.4249
Uspanteco-Somali,0.1833,0,0.77865,0.62005,579.6051,2782.9778,38.6138,44.4852,0.67585,0.2120
Uspanteco-Croatian,0.2108,0.00095,0.8259,0.4145,936.4567,169.6364,34.6556,36.77525,0.6603,0.5991
Uspanteco-Italian,0.2198,0.00185,0.8363,0.4483,735.1232,197.25485,37.1961,32.3749,0.6502,0.6285
Uspanteco-Akawaio,0.0823,0,0.3164,0.6518,38.1141,6.9189,41.7165,44.3300,0.7192,0.6314
Uspanteco-Czech,0.2132,0.00095,0.7745,0.4267,602.3311,97.6400,38.5230,46.4394,0.6747,0.5446
Uspanteco-Tachelhit,0.0281,0,0.4838,0.5094,2.8249,6.7480,47.4659,45.9138,0.6165,0.6302
Uspanteco-Romanian,0.2239,0,0.8170,0.4546,1155.4151,178.3227,33.8821,33.8188,0.6828,0.6279
Uspanteco-Lithuanian,0.2179,0,0.8754,0.4174,1069.5488,186.70275,34.3583,33.8120,0.6646,0.6593
Uspanteco-Wolof,0.1829,0,0.5304,0.5834,25.5684,343.8285,47.6418,46.98445,0.7427,0.5569
Uspanteco-Zulu,0.2031,0,0.7808,0.5904,672.7790,8.49295,38.296,51.75665,0.67135,0.5177
Uspanteco-Thai-tok,0.1437,0,0.7962,0.42805,643.6940,145.0185,37.4217,34.773,0.66175,0.6956
Uspanteco-Malayalam,0.1204,0,1.0458,1.3842,624.4820,6205.43475,37.6968,52.5407,0.5802,0.51355
Uspanteco-Hebrew,0.1352,0,0.7262,0.4287,378.6344,163.2319,40.0740,32.1950,0.6146,0.6692
Uspanteco-Kabyle,0.1124,0,0.3662,0.38205,2.6183,71.0635,40.0628,38.1111,0.6789,0.6784
Uspanteco-French,0.2277,0.00095,0.7780,0.4525,766.6907,163.0421,36.7607,39.8638,0.6800,0.5924
Uspanteco-Afrikaans,0.2302,0,0.7560,0.4297,873.0069,166.8688,35.9404,32.8684,0.6865,0.6537
Ojibwa-Aguaruna,0.0087,0.00115,1.5081,1.4851,9647.3183,58215.3046,52.2743,50.3497,0.6200,0.5814
Ojibwa-Nepali,0.0057,0,1.6430,1.2086,15775.9314,51989.0493,43.3715,53.5266,0.3137,0.5714
Ojibwa-Marathi,0.0066,0.00095,1.65635,1.3770,16054.8744,56508.7028,42.3180,34.5881,0.2587,0.6494
Ojibwa-Lukpa,0.0083,0,1.4116,1.14185,8086.2627,53760.4595,54.6926,63.8159,0.5966,0.3972
Ojibwa-Turkish,0.0039,0,3.65645,3.3926,15891.6551,34937.0257,42.3575,48.3301,0.2404,0.4951
Ojibwa-Farsi,0.0065,0,1.7573,1.2657,15957.8030,51298.5585,40.4783,53.2425,0.2269,0.4109
Ojibwa-Paite,0.0011,0,1.4999,1.5052,9327.7761,58168.6982,49.1447,48.9223,0.4895,0.6541
Ojibwa-Hindi,0.0057,0,1.9299,1.44785,16488.790,54768.58935,39.2514,53.1926,0.2114,0.5014
Ojibwa-Cherokee,0.0066,0,0.6303,0.4895,425.4708,15259.1442,58.1719,69.386,0.8576,0.7445
Ojibwa-K'iche'-SIL,0.0040,0,1.4835,1.4049,9370.9086,56736.47415,50.4895,52.03265,0.6431,0.6207
Ojibwa-Uma,0.0070,0,1.4177,1.2602,9644.7113,49714.1867,57.2463,44.5398,0.5955,0.6500
Ojibwa-Russian,0.0117,0,1.9720,1.5601,15847.7174,58653.1103,40.4980,48.4668,0.35935,0.5321
Ojibwa-Syriac,0,0,5.8670,8.5116,1247986.0285,1047572.1136,40.6638,31.8574,0.8616,0.7187
Ojibwa-Xhosa,0.0067,0,1.8486,1.0354,13656.527,56610.0093,47.8300,54.7840,0.3877,0.5250
Ojibwa-English-WEB,0.0107,0.00115,1.8975,1.5774,14103.1715,56677.4196,46.6608,53.0233,0.4582,0.4918
Ojibwa-K'iche',0,0,2.4848,2.1917,663516.7265,774492.3967,1.9666,1.9666,0.7995,4.7258
Ojibwa-Thai,0.00625,0,1.9404,1.5851,15624.8610,59726.3365,40.3977,41.3538,0.4458,0.6034
Ojibwa-Campa,0.0131,0,1.5059,1.2106,9123.7210,47860.0608,48.5765,48.1457,0.6198,0.6030
Ojibwa-Q'eqchi',0.0031,0,1.4866,1.4023,9349.0680,56721.2714,52.78525,47.6853,0.6048,0.6750
Ojibwa-Tagalog,0.0118,0,1.9000,1.50255,15024.3919,58686.5896,42.8721,38.8594,0.3763,0.6916
Ojibwa-Barasana,0.0057,0,2.4840,3.3122,8869.9348,34005.7473,48.5973,71.08935,0.6356,0.3895
Ojibwa-Nahuatl,0.0040,0,1.4283,1.1586,10038.4021,51306.6931,58.2568,51.4015,0.5898,0.6701
Ojibwa-Portuguese,0.0110,0,1.9243,1.6305,15666.4759,59367.4903,41.5080,46.5002,0.2496,0.5624
Ojibwa-Zarma,0.00225,0,1.4781,1.2814,9993.2335,57167.2898,58.3814,50.6102,0.5120,0.522
Ojibwa-Korean,0.0065,0,1.8673,1.3625,13628.2568,55678.7201,48.2198,53.1340,0.4058,0.4673
Ojibwa-Coptic,0.0011,0,5.1098,4.96825,226270.4544,1269596.3447,55.9389,36.3036,0.8240,0.8354
Ojibwa-Hungarian,0.0096,0,1.8620,1.7389,14012.2776,60596.1016,45.3391,33.0222,0.3594,0.6849
Ojibwa-Shona,0.0062,0,1.8103,1.4101,13988.1919,58641.1051,47.2794,46.3363,0.3530,0.5619
Ojibwa-Cebuano,0.0079,0,1.8724,1.50305,15425.5518,58254.4674,42.2862,43.0033,0.3398,0.6705
Ojibwa-Ewe,0.0011,0,1.41695,1.2914,9671.2908,58388.2736,52.5533,50.2530,0.4879,0.6514
Ojibwa-Norwegian,0.0096,0,1.9586,1.60145,16016.5589,59068.6071,40.4964,45.6139,0.3120,0.5766
Ojibwa-Vietnamese-tok,0.01275,0,1.8916,1.7137,15401.0537,60055.1666,41.2401,34.4200,0.43175,0.6437
Ojibwa-Wolaytta,0.0022,0,1.4796,1.02285,9138.9424,48809.2712,46.8773,56.6129,0.5529,0.5172
Ojibwa-Kannada,0.0068,0,1.9122,0.8390,15094.0836,77415.4508,43.3825,60.0102,0.2783,0.8151
Ojibwa-Dinka,0.0011,0,1.5535,1.4295,9050.1558,56865.1828,45.6212,51.7080,0.48585,0.5976
Ojibwa-Indonesian,0.0096,0,1.7010,1.2831,16020.07735,56313.4916,41.9136,47.4343,0.3297,0.5492
Ojibwa-English,0.0108,0,1.8338,1.4128,13519.5400,53083.8807,48.8843,52.2030,0.4679,0.3882
Ojibwa-Myanmar,0.0051,0,1.8408,1.2330,13253.8199,53552.18565,46.6237,53.6264,0.3401,0.6929
Ojibwa-Jakalteko,0.0020,0,1.4812,1.2350,8886.2215,48795.5768,49.2997,54.4306,0.6413,0.6361
Ojibwa-Slovene,0.0136,0,1.9152,1.7372,14906.2818,60634.6681,43.0251,32.0818,0.30785,0.6665
Ojibwa-Greek,0.0040,0,1.76285,1.7524,13283.5183,60347.0781,48.6819,31.91755,0.2941,0.7035
Ojibwa-Chinantec,0,0,1.3662,1.2469,8116.3016,50904.5805,53.7338,57.4586,0.69325,0.6046
Ojibwa-Icelandic,0.0101,0,1.9740,1.6837,16732.8084,60207.98975,38.6281,33.7901,0.2397,0.68725
Ojibwa-Polish,0.0087,0,1.9101,1.59855,15648.5490,59182.2239,41.36685,46.9811,0.3624,0.5725
Ojibwa-Romani,0.0042,0,1.4261,1.4545,10259.2572,57533.6024,58.8453,40.8982,0.46685,0.6806
Ojibwa-Maori,0.0070,0,1.86365,1.447,14268.7449,58227.2996,45.6070,45.0791,0.44825,0.6706
Ojibwa-Cabecar,0.0074,0,1.3925,1.4680,9201.3194,57749.5549,55.69025,43.8310,0.5602,0.6622
Ojibwa-Mam,0.0020,0,1.4592,1.3381,9001.1281,54836.3476,50.13575,46.8957,0.6357,0.6148
