Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Portuguese-Malayalam,0.83755,0.1395,1.3738,1.6081,21.3548,6306.4625,33.4820,42.9989,1.1710,0.6497
Portuguese-Hebrew,0.9912,0.4069,0.456,0.5286,105.5062,6.6868,35.3011,28.33235,1.2628,0.8013
Portuguese-Kabyle,0.1522,0.0492,0.6460,0.5980,931.6774,10.1950,35.1592,32.8258,0.6883,0.6830
Portuguese-French,0.9976,0.6872,0.3565,0.2382,3.3013,4.7505,32.6823,34.1141,1.3488,0.8837
Portuguese-Afrikaans,0.99695,0.5477,0.3624,0.3913,0.1537,6.7644,32.04145,28.8494,1.3313,0.8324
Zarma-Korean,0.1859,0.0055,0.5904,0.4239,326.0431,19.9670,47.8638,46.2383,0.72085,0.4479
Zarma-Coptic,0.00095,0,5.3114,4.96825,315891.6767,1410161.58185,55.4829,32.9000,0.3758,0.5427
Zarma-Hungarian,0.2851,0.0021,0.6346,0.6875,391.6124,109.4388,45.0015,30.1877,0.7903,0.5929
Zarma-Shona,0.3036,0,0.6262,0.3164,385.3886,18.3219,46.9089,41.0166,0.8016,0.5218
Zarma-Cebuano,0.3514,0,0.5717,0.6858,666.8170,8.9231,41.9982,38.3657,0.8218,0.5800
Zarma-Ewe,0.2477,0,0.4072,0.7483,4.6609,11.43795,52.1482,44.0755,0.8184,0.5439
Zarma-Norwegian,0.29915,0.0021,0.6430,0.39505,803.6367,45.0052,40.2276,40.5124,0.7722,0.5283
Zarma-Vietnamese-tok,0.23945,0.00095,0.6676,0.6820,665.9726,79.8132,40.9657,31.3562,0.7850,0.6028
Zarma-Wolaytta,0.1982,0,1.4822,2.1733,22.2887,4488.5383,46.5376,48.9172,0.81535,0.4622
Zarma-Kannada,0.2486,0,0.6298,1.9116,600.1146,177970.03385,43.0671,51.3161,0.76355,0.5416
Zarma-Dinka,0.1546,0,0.4217,0.4572,28.2225,317.4335,45.31415,45.1569,0.7574,0.5143
Zarma-Indonesian,0.2470,0.00115,1.0802,1.1299,805.7413,1345.4135,41.6319,41.9733,0.7284,0.51575
Zarma-English,0.3526,0.0044,0.6171,0.3485,304.6077,168.374,48.5079,45.4749,0.8461,0.3732
Zarma-Myanmar,0.1669,0,0.5970,0.7371,268.8537,189.8153,46.2502,46.5894,0.7292,0.6448
Zarma-Jakalteko,0.1299,0,1.0585,1.0020,37.2094,5629.9321,48.9348,47.26105,0.7312,0.5266
