Language pair,Combined sentences (LaBSE),Combined in-family sentences (LaBSE),Combined in-genus sentences (LaBSE),Combined sentences (LASER),Combined in-family sentences (LASER),Combined in-genus sentences (LASER),Same Family?,Same Genus?,"Character-level Overlap (multiset Jaccard coefficient, Book of Matthew)","Token-level Overlap (multiset Jaccard coefficient, Book of John)",Same Word Order?,Same Polysynthesis Status?,Geographic Distance (lang2vec),Inventory Distance (lang2vec),Syntactic Distance (lang2vec),Phonological Distance (lang2vec)
Maori-Akawaio,6419000,517929400,517929400,0,0,0,0,0,0.5142,0.1393,0,0,0.2352,0.3178,0.5993,0.4929
Maori-Czech,269419000,12134194500,3856849400,5500000,377177649,49200000,0,0,0.3629,0.3859,0,1,0.3108,0.4515,0.452,0.5757
Maori-Tachelhit,6419000,517929400,517929400,0,0,0,0,0,0.3624,0.1893,1,1,0.3163,0.4926,0.394,0.5757
Maori-Romanian,154119000,12134194500,3031709400,4900000,377177649,36284000,0,0,0.4691,0.3783,0,1,0.3064,0.399,0.3581,0.5528
Maori-Lithuanian,104719000,12134194500,738129400,3200000,377177649,5200000,0,0,0.4393,0.3644,0,1,0.303,0.5384,0.4352,0.5528
Maori-Wolof,8169000,663228700,663228700,0,0,0,0,0,0.4741,0.3641,0,1,0.3022,0.3399,0.3053,0.2929
Maori-Zulu,16581000,663228700,663228700,0,0,0,0,0,0.5242,0.3633,0,1,0.2084,0.3573,0.4541,0.5219
Maori-Thai-tok,123119000,634629400,634629400,4100000,4100000,4100000,0,0,0.0617,0.1461,0,1,0.1538,0.3243,0.2735,0.3545
Maori-Malayalam,67319000,851979400,745669400,373000,448000,415000,0,0,0.0286,0.3138,0,1,0.1956,0.3868,0.6335,0.5257
Maori-Hebrew,178919000,1013874400,993593400,4100000,12677000,12388000,0,0,0.0377,0.3485,0,1,0.2928,0.4471,0.3213,0.6414
