Language pair,Combined sentences (LaBSE),Combined in-family sentences (LaBSE),Combined in-genus sentences (LaBSE),Combined sentences (LASER),Combined in-family sentences (LASER),Combined in-genus sentences (LASER),Same Family?,Same Genus?,"Character-level Overlap (multiset Jaccard coefficient, Book of Matthew)","Token-level Overlap (multiset Jaccard coefficient, Book of John)",Same Word Order?,Same Polysynthesis Status?,Geographic Distance (lang2vec),Inventory Distance (lang2vec),Syntactic Distance (lang2vec),Phonological Distance (lang2vec)
Farsi-Maori,224419000,12134194500,1342829400,0,0,0,0,0,0.0335,0.325,0,1,0.262,0.3887,0.4794,0.6127
Farsi-Cabecar,218000000,11616265100,824900000,0,0,0,0,0,0.0379,0.1647,1,1,0.2485,0.2264,0.3712,0.1835
Farsi-Mam,218000000,11616265100,824900000,0,0,0,0,0,0.0331,0.0975,0,0,0.2518,0.2381,0.4085,0.1835
Farsi-Latvian,339900000,23232530200,1045100000,2000000,377177649,5200000,1,0,0.0433,0.4105,0,1,0.031,0.1915,0.3412,0.1296
Farsi-Chinese,1488000000,12929534100,2094900000,8300000,8308000,8306000,0,0,0.0496,0.3622,0,1,0.06,0.2925,0.5,0.2794
Farsi-Japanese-tok,1628000000,13026265100,2234900000,3200000,3200000,3200000,0,0,0.0402,0.1409,1,1,0.0967,0.3072,0.4647,0.2697
Farsi-Albanian,307270000,23232530200,914170000,3200000,377177649,3200000,1,0,0.0413,0.3635,0,1,0.024,0.2193,0.3232,0.1667
Farsi-Basque,270730000,11668995100,877630000,1200000,1200000,1200000,0,0,0.0381,0.2964,1,1,0.0523,0.2991,0.3193,0.1835
Farsi-Esperanto,292600000,11690865100,899500000,397000,414000,397000,0,0,0.0408,0.4035,0,1,0.0473,0.2362,0.3719,0.1296
Farsi-Gujarati,307920000,23232530200,1649800000,0,0,0,1,1,0.0373,0.2782,1,1,0.0062,0.3491,0.3828,0.134
Farsi-Serbian,286300000,23232530200,4163820000,4000000,377177649,49200000,1,0,0.0461,0.4181,0,1,0.0233,0.1915,0.3232,0.0871
Farsi-Vietnamese,439000000,11867063100,1075698000,4000000,4000625,4000625,0,0,0.042,0.3523,0,1,0.0543,0.3698,0.5131,0.3333
Farsi-German,919000000,23232530200,4741859000,8700000,377177649,259221917,1,0,0.0397,0.3978,0,1,0.0355,0.3017,0.4154,0.1513
Farsi-Telugu,324310000,11950315100,931210000,33000,448000,33000,0,0,0.0393,0.2549,1,1,0.0155,0.3487,0.4722,0.2302
Farsi-Creole,288091000,11686356100,894991000,0,0,0,0,0,0.0394,0.3492,0,1,0.2158,0.1807,0.3424,0.134
Farsi-Quichua,218000000,11616265100,824900000,0,0,0,0,0,0.0385,0.3071,1,0,0.2537,0.2748,0.3712,0.1835
Farsi-Achuar,218000000,11616265100,824900000,0,0,0,0,0,0.0305,0.1959,1,1,0.2559,0.341,0.352,0.2929
Farsi-Malagasy,226427000,12134194500,1342829400,355000,7592560,7592560,0,0,0.0362,0.3685,0,1,0.056,0.1963,0.5,0.2167
Farsi-Camsa,218000000,11616265100,824900000,0,0,0,0,0,0.0295,0.2448,0,0,0.25,0.3056,0.3617,0.1835
Farsi-Swedish,464000000,23232530200,4741859000,7800000,377177649,259221917,1,0,0.0413,0.3879,0,1,0.0391,0.3518,0.4322,0.1296
Farsi-Aukan,218000000,11616265100,824900000,0,0,0,0,0,0.0333,0.2183,0,1,0.2,0.2028,0.5141,0.1784
Farsi-Japanese,1628000000,13026265100,2234900000,3200000,3200000,3200000,0,0,0,0.2333,1,1,0.0967,0.3072,0.4647,0.2697
Farsi-Spanish,654000000,23232530200,3338680000,4800000,377177649,36284000,1,0,0.0383,0.3996,0,1,0.0523,0.2958,0.3232,0.1784
Farsi-Shuar,218000000,11616265100,824900000,0,0,0,0,0,0.0362,0.2644,1,0,0.2583,0.3467,0.3241,0.5286
Farsi-Dutch,669000000,23232530200,4741859000,8400000,377177649,259221917,1,0,0.0391,0.4084,0,1,0.0455,0.2582,0.4013,0.1296
Farsi-Slovak,374500000,23232530200,4163820000,5200000,377177649,49200000,1,0,0.0432,0.4089,0,1,0.0288,0.2175,0.3232,0.0871
Farsi-Amuzgo,218000000,11616265100,824900000,0,0,0,0,0,0.0292,0.0687,0,1,0.2556,0.2958,0.473,0.3453
Farsi-Swahili,305840000,11761564400,970199300,173000,173000,173000,0,0,0.0405,0.4066,0,1,0.0397,0.1807,0.3862,0.3037
Farsi-Chinese-tok,1488000000,12929534100,2094900000,8300000,8308000,8306000,0,0,0.0517,0.3622,0,1,0.06,0.2925,0.5,0.2794
Farsi-Danish,395100000,23232530200,4741859000,7900000,377177649,259221917,1,0,0.042,0.3862,0,1,0.0422,0.3175,0.4593,0.1296
Farsi-Amharic,247492000,12112210100,1300564000,88000,12677000,12388000,0,0,0.0421,0.3839,1,1,0.0126,0.199,0.3789,0.1784
Farsi-Somali,229825000,12112210100,836725000,85000,12677000,85000,0,0,0.0359,0.3549,1,1,0.0165,0.2428,0.4202,0.1667
Farsi-Croatian,346900000,23232530200,4163820000,4000000,377177649,49200000,1,0,0.0468,0.4099,0,1,0.0291,0.2285,0.3412,0.0871
Farsi-Italian,497000000,23232530200,3338680000,8300000,377177649,36284000,1,0,0.0409,0.4108,0,1,0.0332,0.2741,0.3412,0.0871
Farsi-Akawaio,218000000,11616265100,824900000,0,0,0,0,0,0.0329,0.0989,1,0,0.2111,0.317,0.3327,0.2362
Farsi-Czech,481000000,23232530200,4163820000,5500000,377177649,49200000,1,0,0.0435,0.3911,0,1,0.0333,0.2897,0.2778,0.0871
Farsi-Tachelhit,218000000,11616265100,824900000,0,0,0,0,0,0.0431,0.1794,0,1,0.0678,0.2491,0.3857,0.1784
Farsi-Romanian,365700000,23232530200,3338680000,4900000,377177649,36284000,1,0,0.0406,0.3271,0,1,0.0223,0.1846,0.3493,0.134
Farsi-Lithuanian,316300000,23232530200,1045100000,3200000,377177649,5200000,1,0,0.0442,0.4109,0,1,0.0295,0.2681,0.2712,0.134
Farsi-Wolof,219750000,11761564400,970199300,0,0,0,0,0,0.047,0.3353,0,1,0.0956,0.2789,0.4366,0.2697
Farsi-Zulu,228162000,11761564400,970199300,0,0,0,0,0,0.0391,0.409,0,1,0.0778,0.2741,0.3939,0.3828
Farsi-Thai-tok,334700000,11732965100,941600000,4100000,4100000,4100000,0,0,0.0308,0.1458,0,1,0.0471,0.2857,0.5286,0.3333
Farsi-Malayalam,278900000,11950315100,1052640000,373000,448000,415000,0,0,0.034,0.3177,1,1,0.0193,0.3302,0.4855,0.1835
Farsi-Hebrew,390500000,12112210100,1300564000,4100000,12677000,12388000,0,0,0.044,0.396,0,1,0.0079,0.3181,0.3365,0.0742
Farsi-Kabyle,218000000,11616265100,824900000,0,0,0,0,0,0.0399,0.1687,0,0,0.2516,0.224,0.3467,0.1835
Farsi-French,1172000000,23232530200,3338680000,8800000,377177649,36284000,1,0,0.0396,0.3732,0,1,0.048,0.2582,0.3828,0.1994
Farsi-Afrikaans,262070000,23232530200,4741859000,67000,377177649,259221917,1,0,0.0395,0.4013,0,1,0.0721,0.3576,0.3889,0.2167
Paite-Hindi,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0546,0.2827,0,1,0.0059,0.335,0.4192,0.0426
Paite-Cherokee,0,0,0,0,0,0,0,0,0.0324,0.3439,0,0,0.2388,0.2617,0.5189,0.3162
Paite-K'iche'-SIL,49440000,334050000,227740000,0,0,0,0,0,0.4813,0.1733,0,1,0.0097,0.2486,0.3693,0.0955
Paite-Uma,0,0,0,0,0,0,0,0,0.5739,0.2295,0,1,0.0321,0.1732,0.6,0.1818
Paite-Russian,1761000000,11616265100,3338920000,9300000,377177649,49200000,0,0,0.046,0.2992,0,1,0.0282,0.267,0.5566,0.0465
Paite-Syriac,0,0,0,0,0,0,0,0,0.02,0.3255,0,1,0.0497,0.1932,0.5668,0.1296
Paite-Xhosa,4690100,145299300,145299300,0,0,0,0,0,0.5852,0.329,0,1,0.1414,0.1913,0.5887,0.1472
Paite-English-WEB,2000000000,11616265100,3916959000,220242917,377177649,259221917,0,0,0.4575,0.319,0,1,0.1157,0.2241,0.5554,0.1818
Paite-K'iche',0,0,0,15000,12677000,77000,0,0,0,0.0312,0,1,0.1195,0.4442,0.5776,0.1818
Paite-Thai,116700000,116700000,116700000,4100000,4100000,4100000,0,0,0.0046,0.1703,0,1,0.0036,0.1882,0.492,0.2167
Paite-Campa,0,0,0,0,0,0,0,0,0.3797,0.2513,0,0,0.3112,0.3487,0.6211,0.397
Paite-Q'eqchi',0,0,0,0,0,0,0,0,0.4623,0.1674,0,0,0.2811,0.2618,0.7624,0.4279
Paite-Tagalog,52600000,517929400,517929400,36000,7592560,7592560,0,0,0.5784,0.3296,0,1,0.02,0.1941,0.687,0.2372
Paite-Barasana,0,0,0,0,0,0,0,0,0.3342,0.1115,0,0,0.2985,0.304,0.6435,0.5477
Paite-Nahuatl,0,0,0,0,0,0,0,0,0.4766,0.2124,0,0,0.2715,0.1617,0.6901,0.397
Paite-Portuguese,507000000,11616265100,2513780000,8300000,377177649,36284000,0,0,0.398,0.3212,0,1,0.1314,0.1847,0.6481,0.0955
Paite-Zarma,0,0,0,0,0,0,0,0,0.5493,0.3402,0,1,0.1482,0.2162,0.3609,0.0955
Paite-Korean,211000000,211000000,211000000,1400000,1400000,1400000,0,0,0.0219,0.2557,0,1,0.0257,0.2703,0.2963,0.3604
Paite-Coptic,0,0,0,0,0,0,0,0,0.0262,0.3094,0,1,0.0703,0.2566,0.6133,0.1638
Paite-Hungarian,188600000,11616265100,352100000,5300000,377177649,13200000,0,0,0.4153,0.3431,0,1,0.086,0.2479,0.4904,0.1419
Paite-Shona,5595200,145299300,145299300,0,0,0,0,0,0.5715,0.3261,0,1,0.0006,0.1351,0.4621,0.3326
Paite-Cebuano,11081000,517929400,517929400,0,0,0,0,0,0.587,0.329,0,1,0.0273,0.2196,0.6857,0.0465
Paite-Ewe,0,0,0,0,0,0,0,0,0.4369,0.2656,0,1,0.1592,0.2228,0.4782,0.2748
Paite-Norwegian,170800000,11616265100,3916959000,4100000,377177649,259221917,0,0,0.4158,0.3057,0,1,0.0965,0.3845,0.5724,0.2372
Paite-Vietnamese-tok,221000000,250798000,250798000,4000000,4000625,4000625,0,0,0.399,0.3063,0,1,0.0047,0.2566,0.5371,0.3037
Paite-Wolaytta,0,0,0,0,0,0,0,0,0.5437,0.3084,0,1,0.0725,0.2735,0.4202,0.1818
Paite-Kannada,0,0,0,0,0,0,0,0,0.0264,0.2772,0,0,0.2823,0.2618,0.6432,0.1472
Paite-Dinka,0,0,0,0,0,0,0,0,0.4884,0.3544,0,1,0.0912,0.2328,0.5493,0.2167
Paite-Indonesian,283000000,517929400,517929400,4300000,7592560,7592560,0,0,0.6074,0.2966,0,1,0.0301,0.1313,0.5817,0.1818
Paite-English,2000000000,11616265100,3916959000,220242917,377177649,259221917,0,0,0.4767,0.3208,0,1,0.1157,0.2241,0.5554,0.1818
Paite-Myanmar,42820000,1313269000,42820000,2000,8308000,2000,1,1,0.0082,0.1906,0,1,0.0003,0.2326,0.2692,0.1942
Paite-Jakalteko,0,0,0,0,0,0,0,0,0.5177,0.1786,0,0,0.2802,0.2366,0.7746,0.4279
Paite-Slovene,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.4332,0.3287,0,1,0.0944,0.2103,0.5991,0.0465
Paite-Greek,204000000,11616265100,204000000,6500000,377177649,6500000,0,0,0.0444,0.1844,0,1,0.0782,0.267,0.634,0.1419
Paite-Chinantec,0,0,0,0,0,0,0,0,0.3293,0.0563,0,1,0.275,0.3383,0.7564,0.3907
Paite-Icelandic,108080000,11616265100,3916959000,2000000,377177649,259221917,0,0,0.4634,0.309,0,1,0.1272,0.1977,0.5669,0.0909
Paite-Polish,421000000,11616265100,3338920000,5500000,377177649,49200000,0,0,0.3907,0.3266,0,1,0.0865,0.2041,0.6088,0.0465
Paite-Romani,0,0,0,0,0,0,0,0,0.5746,0.3447,0,1,0.0846,0.2394,0.4394,0.0465
Paite-Maori,6419000,517929400,517929400,0,0,0,0,0,0.5698,0.3396,0,1,0.1846,0.383,0.5832,0.5955
Paite-Cabecar,0,0,0,0,0,0,0,0,0.4653,0.2167,0,1,0.2906,0.1757,0.5072,0.1472
Paite-Mam,0,0,0,0,0,0,0,0,0.4514,0.1631,0,0,0.2817,0.2897,0.7392,0.1472
Paite-Latvian,121900000,11616265100,220200000,2000000,377177649,5200000,0,0,0.4791,0.3227,0,1,0.0785,0.1663,0.6258,0.0909
Paite-Chinese,1270000000,1313269000,1270000000,8300000,8308000,8306000,1,0,0.0618,0.2553,0,1,0.0155,0.3242,0.352,0.1638
Paite-Japanese-tok,1410000000,1410000000,1410000000,3200000,3200000,3200000,0,0,0.0515,0.1409,0,1,0.034,0.2323,0.3143,0.3326
Paite-Albanian,89270000,11616265100,89270000,3200000,377177649,3200000,0,0,0.4506,0.3189,0,1,0.0873,0.2462,0.604,0.1296
Paite-Basque,52730000,52730000,52730000,1200000,1200000,1200000,0,0,0.5232,0.3313,0,1,0.1249,0.3866,0.4329,0.1472
Paite-Esperanto,74600000,74600000,74600000,397000,414000,397000,0,0,0.5315,0.323,0,1,0.1126,0.2095,0.6432,0.1818
Paite-Gujarati,89920000,11616265100,824900000,0,0,0,0,0,0.0528,0.2821,0,1,0.0109,0.2841,0.4001,0.0955
Paite-Serbian,68300000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.4397,0.3183,0,1,0.0828,0.1941,0.5776,0.0465
Paite-Vietnamese,221000000,250798000,250798000,4000000,4000625,4000625,0,0,0.4001,0.3068,0,1,0.0047,0.2566,0.5371,0.3037
Paite-German,701000000,11616265100,3916959000,8700000,377177649,259221917,0,0,0.4929,0.3164,0,1,0.0972,0.2793,0.5102,0.1942
Paite-Telugu,106310000,334050000,106310000,33000,448000,33000,0,0,0.0441,0.2659,0,1,0.0065,0.3308,0.4084,0.0955
Paite-Creole,70091000,70091000,70091000,0,0,0,0,0,0.5159,0.3179,0,1,0.271,0.1527,0.6943,0.0955
Paite-Quichua,0,0,0,0,0,0,0,0,0.5942,0.3282,0,0,0.3032,0.3418,0.5072,0.1472
Paite-Achuar,0,0,0,0,0,0,0,0,0.477,0.2572,0,1,0.3054,0.2979,0.5143,0.2615
Paite-Malagasy,8427000,517929400,517929400,355000,7592560,7592560,0,0,0.5184,0.3137,0,1,0.088,0.1732,0.5774,0.1818
Paite-Camsa,0,0,0,0,0,0,0,0,0.3874,0.2831,0,0,0.3007,0.2602,0.5292,0.1472
Paite-Swedish,246000000,11616265100,3916959000,7800000,377177649,259221917,0,0,0.4516,0.314,0,1,0.0873,0.2864,0.5887,0.0909
Paite-Aukan,0,0,0,0,0,0,0,0,0.5355,0.306,0,1,0.2765,0.1232,0.5942,0.1419
Paite-Japanese,1410000000,1410000000,1410000000,3200000,3200000,3200000,0,0,0,0.2333,0,1,0.034,0.2323,0.3143,0.3326
Paite-Spanish,436000000,11616265100,2513780000,4800000,377177649,36284000,0,0,0.3989,0.2968,0,1,0.1273,0.2497,0.6832,0.1419
Paite-Shuar,0,0,0,0,0,0,0,0,0.5359,0.3111,0,0,0.3064,0.304,0.479,0.5076
Paite-Dutch,451000000,11616265100,3916959000,8400000,377177649,259221917,0,0,0.4674,0.2998,0,1,0.1073,0.2548,0.5248,0.0909
Paite-Slovak,156500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.4244,0.335,0,1,0.087,0.2219,0.604,0.0465
Paite-Amuzgo,0,0,0,0,0,0,0,0,0.3939,0.0976,0,1,0.2757,0.3053,0.706,0.3162
Paite-Swahili,87840000,145299300,145299300,173000,173000,173000,0,0,0.6401,0.3226,0,1,0.0894,0.1784,0.6211,0.2727
Paite-Chinese-tok,1270000000,1313269000,1270000000,8300000,8308000,8306000,1,0,0.064,0.2553,0,1,0.0155,0.3242,0.352,0.1638
Paite-Danish,177100000,11616265100,3916959000,7900000,377177649,259221917,0,0,0.4161,0.3167,0,1,0.0992,0.2243,0.5613,0.0909
Paite-Amharic,29492000,495945000,475664000,88000,12677000,12388000,0,0,0.0371,0.2576,0,1,0.0641,0.2266,0.4457,0.1419
Paite-Somali,11825000,495945000,11825000,85000,12677000,85000,0,0,0.5774,0.334,0,1,0.0593,0.2644,0.4388,0.3037
Paite-Croatian,128900000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.451,0.3087,0,1,0.0913,0.2328,0.5991,0.0465
Paite-Italian,279000000,11616265100,2513780000,8300000,377177649,36284000,0,0,0.4516,0.3016,0,1,0.0997,0.2266,0.6526,0.0465
Paite-Akawaio,0,0,0,0,0,0,0,0,0.4262,0.1609,0,0,0.2816,0.2723,0.5586,0.2023
Paite-Czech,263000000,11616265100,3338920000,5500000,377177649,49200000,0,0,0.4065,0.3354,0,1,0.0925,0.2973,0.6619,0.0465
Paite-Tachelhit,0,0,0,0,0,0,0,0,0.4644,0.2305,0,1,0.1524,0.3066,0.6012,0.1419
Paite-Romanian,147700000,11616265100,2513780000,4900000,377177649,36284000,0,0,0.4795,0.3436,0,1,0.0785,0.1839,0.6568,0.0955
Paite-Lithuanian,98300000,11616265100,220200000,3200000,377177649,5200000,0,0,0.4971,0.3134,0,1,0.0788,0.2722,0.604,0.0955
Paite-Wolof,1750000,145299300,145299300,0,0,0,0,0,0.5159,0.3365,0,1,0.1874,0.2565,0.5714,0.2372
Paite-Zulu,10162000,145299300,145299300,0,0,0,0,0,0.5954,0.3147,0,1,0.1265,0.2266,0.5991,0.3553
Paite-Thai-tok,116700000,116700000,116700000,4100000,4100000,4100000,0,0,0.0402,0.1462,0,1,0.0036,0.1882,0.492,0.2167
Paite-Malayalam,60900000,334050000,227740000,373000,448000,415000,0,0,0.0345,0.2761,0,1,0.0118,0.3094,0.3043,0.1472
Paite-Hebrew,172500000,495945000,475664000,4100000,12677000,12388000,0,0,0.0398,0.277,0,1,0.0624,0.3316,0.5763,0.1942
Paite-Kabyle,0,0,0,0,0,0,0,0,0.4746,0.222,0,0,0.2823,0.2618,0.6432,0.1472
Paite-French,954000000,11616265100,2513780000,8800000,377177649,36284000,0,0,0.4284,0.3159,0,1,0.115,0.2774,0.5827,0.2474
Paite-Afrikaans,44070000,11616265100,3916959000,67000,377177649,259221917,0,0,0.4693,0.3057,0,1,0.1244,0.2629,0.4929,0.1818
Hindi-Cherokee,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0311,0.4417,1,0,0.2298,0.477,0.2592,0.3453
Hindi-K'iche'-SIL,184240000,11950315100,1052640000,288000,377177649,8029000,0,0,0.0416,0.1277,1,1,0.0034,0.2843,0.24,0.134
Hindi-Uma,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0457,0.1699,0,1,0.0572,0.3461,0.5512,0.2167
Hindi-Russian,1895800000,23232530200,4163820000,9588000,754355298,57229000,1,0,0.0416,0.3836,0,1,0.0211,0.3294,0.3012,0.0871
Hindi-Syriac,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0219,0.351,0,1,0.024,0.2604,0.3643,0.1667
Hindi-Xhosa,139490100,11761564400,970199300,288000,377177649,8029000,0,0,0.0309,0.3823,0,1,0.1136,0.397,0.5693,0.1835
Hindi-English-WEB,2134800000,23232530200,4741859000,220530917,754355298,267250917,1,0,0.0514,0.38,0,1,0.089,0.2909,0.3838,0.2167
Hindi-K'iche',134800000,11616265100,824900000,303000,389854649,8106000,0,0,0,0.0312,0,1,0.0854,0.3846,0.4146,0.2167
Hindi-Thai,251500000,11732965100,941600000,4388000,381277649,12129000,0,0,0.0044,0.1707,0,1,0.0154,0.3342,0.5859,0.25
Hindi-Campa,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0251,0.2177,0,0,0.2956,0.4658,0.3248,0.4226
Hindi-Q'eqchi',134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0409,0.1097,0,0,0.2755,0.3461,0.439,0.4523
Hindi-Tagalog,187400000,12134194500,1342829400,324000,384770209,15621560,0,0,0.0483,0.331,0,1,0.0449,0.339,0.4457,0.2697
Hindi-Barasana,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0347,0.0888,0,0,0.2802,0.507,0.4173,0.4226
Hindi-Nahuatl,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0389,0.1651,0,0,0.2727,0.3918,0.4274,0.4226
Hindi-Portuguese,641800000,23232530200,3338680000,8588000,754355298,44313000,1,0,0.0468,0.384,0,1,0.0992,0.3116,0.3248,0.134
Hindi-Zarma,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0542,0.3006,1,1,0.1081,0.335,0.4095,0.134
Hindi-Korean,345800000,11827265100,1035900000,1688000,378577649,9429000,0,0,0.0244,0.3509,1,1,0.0478,0.4015,0.2498,0.3876
Hindi-Coptic,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.024,0.3981,0,1,0.04,0.2329,0.4284,0.1994
Hindi-Hungarian,323400000,23232530200,1177000000,5588000,754355298,21229000,0,0,0.0432,0.3526,0,1,0.0585,0.3214,0.2937,0.1784
Hindi-Shona,140395200,11761564400,970199300,288000,377177649,8029000,0,0,0.023,0.384,0,1,0.0098,0.335,0.5583,0.361
Hindi-Cebuano,145881000,12134194500,1342829400,288000,377177649,8029000,0,0,0.0476,0.3341,0,1,0.0543,0.3845,0.5512,0.0871
Hindi-Ewe,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0514,0.2142,0,1,0.1184,0.3626,0.5179,0.2285
Hindi-Norwegian,305600000,23232530200,4741859000,4388000,754355298,267250917,1,0,0.0514,0.3799,0,1,0.0744,0.2894,0.3333,0.2697
Hindi-Vietnamese-tok,355800000,11867063100,1075698000,4288000,381178274,12029625,0,0,0.0559,0.327,0,1,0.02,0.4099,0.5723,0.3333
Hindi-Wolaytta,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0327,0.2557,1,1,0.0422,0.3802,0.2768,0.2167
Hindi-Kannada,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0231,0.2967,0,0,0.2781,0.3219,0.4349,0.1835
Hindi-Dinka,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0573,0.2718,0,1,0.0568,0.3483,0.4534,0.1667
Hindi-Indonesian,417800000,12134194500,1342829400,4588000,384770209,15621560,0,0,0.0408,0.3777,0,1,0.0489,0.3091,0.4755,0.2167
Hindi-English,2134800000,23232530200,4741859000,220530917,754355298,267250917,1,0,0.0535,0.3834,0,1,0.089,0.2909,0.3838,0.2167
Hindi-Myanmar,177620000,12929534100,867720000,290000,385485649,8031000,0,0,0.0087,0.1906,1,1,0.0067,0.3116,0.4748,0.2285
Hindi-Jakalteko,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0414,0.1238,0,0,0.2763,0.2875,0.5575,0.4523
Hindi-Slovene,264300000,23232530200,4163820000,5488000,754355298,57229000,1,0,0.044,0.3839,0,1,0.0658,0.2875,0.2839,0.0871
Hindi-Greek,338800000,23232530200,1028900000,6788000,754355298,14529000,1,0,0.0427,0.1768,0,1,0.05,0.3756,0.3012,0.1784
Hindi-Chinantec,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0345,0.0338,0,1,0.2746,0.3769,0.5249,0.3333
Hindi-Icelandic,242880000,23232530200,4741859000,2288000,754355298,267250917,1,0,0.0433,0.3801,0,1,0.1072,0.3626,0.3248,0.1296
Hindi-Polish,555800000,23232530200,4163820000,5788000,754355298,57229000,1,0,0.0411,0.3839,0,1,0.0612,0.4104,0.2771,0.0871
Hindi-Romani,134800000,11616265100,824900000,288000,377177649,8029000,1,1,0.0524,0.3242,0,1,0.0556,0.2293,0.1053,0.0871
Hindi-Maori,141219000,12134194500,1342829400,288000,377177649,8029000,0,0,0.0509,0.3495,0,1,0.2183,0.4939,0.5892,0.6127
Hindi-Cabecar,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0495,0.1665,1,1,0.2809,0.374,0.4108,0.1835
Hindi-Mam,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0438,0.1062,0,0,0.2779,0.2718,0.4698,0.1835
Hindi-Latvian,256700000,23232530200,1045100000,2288000,754355298,13229000,1,0,0.0566,0.3823,0,1,0.0567,0.2479,0.358,0.1296
Hindi-Chinese,1404800000,12929534100,2094900000,8588000,385485649,16335000,0,0,0.0617,0.3504,0,1,0.0316,0.3817,0.2972,0.1994
Hindi-Japanese-tok,1544800000,13026265100,2234900000,3488000,380377649,11229000,0,0,0.0506,0.1409,1,1,0.0596,0.3946,0.3664,0.361
Hindi-Albanian,224070000,23232530200,914170000,3488000,754355298,11229000,1,0,0.054,0.3747,0,1,0.0574,0.3391,0.2927,0.1667
Hindi-Basque,187530000,11668995100,877630000,1488000,378377649,9229000,0,0,0.0495,0.3069,1,1,0.0933,0.3,0.2483,0.1835
Hindi-Esperanto,209400000,11690865100,899500000,685000,377591649,8426000,0,0,0.0556,0.3839,0,1,0.0842,0.2944,0.3172,0.2167
Hindi-Gujarati,224720000,23232530200,1649800000,288000,377177649,8029000,1,1,0.0467,0.2785,1,1,0.0009,0.266,0.1084,0.134
Hindi-Serbian,203100000,23232530200,4163820000,4288000,754355298,57229000,1,0,0.0579,0.3831,0,1,0.0547,0.2707,0.2927,0.0871
Hindi-Vietnamese,355800000,11867063100,1075698000,4288000,381178274,12029625,0,0,0.0561,0.3664,0,1,0.02,0.4099,0.5723,0.3333
Hindi-German,835800000,23232530200,4741859000,8988000,754355298,267250917,1,0,0.0521,0.3839,0,1,0.0694,0.3135,0.3331,0.2285
Hindi-Telugu,241110000,11950315100,931210000,321000,377625649,8062000,0,0,0.0426,0.2547,1,1,0.002,0.2275,0.2191,0.134
Hindi-Creole,204891000,11686356100,894991000,288000,377177649,8029000,0,0,0.0513,0.3589,0,1,0.2547,0.263,0.4095,0.134
Hindi-Quichua,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0441,0.3147,1,0,0.2895,0.3662,0.3572,0.1835
Hindi-Achuar,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.04,0.1996,1,1,0.2915,0.4241,0.34,0.2929
Hindi-Malagasy,143227000,12134194500,1342829400,643000,384770209,15621560,0,0,0.0487,0.3768,0,1,0.0654,0.3703,0.5835,0.2167
Hindi-Camsa,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0391,0.253,0,0,0.2864,0.3932,0.4291,0.1835
Hindi-Swedish,380800000,23232530200,4741859000,8088000,754355298,267250917,1,0,0.0523,0.3811,0,1,0.066,0.3769,0.3666,0.1296
Hindi-Aukan,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.043,0.2249,0,1,0.2485,0.3258,0.4375,0.1784
Hindi-Japanese,1544800000,13026265100,2234900000,3488000,380377649,11229000,0,0,0,0.2333,1,1,0.0596,0.3946,0.3664,0.361
Hindi-Spanish,570800000,23232530200,3338680000,5088000,754355298,44313000,1,0,0.053,0.3761,0,1,0.0945,0.4302,0.3171,0.1784
Hindi-Shuar,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0388,0.2577,1,0,0.2932,0.4551,0.316,0.4107
Hindi-Dutch,585800000,23232530200,4741859000,8688000,754355298,267250917,1,0,0.0464,0.3694,0,1,0.0804,0.2962,0.3659,0.1296
Hindi-Slovak,291300000,23232530200,4163820000,5488000,754355298,57229000,1,0,0.057,0.3818,0,1,0.0601,0.2707,0.2683,0.0871
Hindi-Amuzgo,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0375,0.0673,0,1,0.2765,0.3618,0.5308,0.3453
Hindi-Swahili,222640000,11761564400,970199300,461000,377350649,8202000,0,0,0.0519,0.3825,0,1,0.06,0.3472,0.5249,0.3037
